event,event_time
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-11 15:32:19 | 2019-03-11 15:32:49 | 2019-03-11 15:33:05 | 2019-03-11 15:33:35 | 2019-03-11 15:34:08 | 2019-03-11 15:34:39 | 2019-03-11 15:34:55
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-12 15:30:04 | 2019-03-12 15:30:34 | 2019-03-12 15:31:04 | 2019-03-12 15:31:37 | 2019-03-12 15:31:54 | 2019-03-12 15:32:10 | 2019-03-12 15:32:51
CGO | OFA=CGO,2019-03-13 15:59:53 | 2019-03-13 15:59:53
OFA | OFA | OFA | OFA | OFA | OFA,2019-03-14 15:42:38 | 2019-03-14 15:42:58 | 2019-03-14 15:43:28 | 2019-03-14 15:43:48 | 2019-03-14 15:44:19 | 2019-03-14 15:45:09
HAA | OFA=HAA | HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-03-15 16:02:56 | 2019-03-15 16:02:56 | 2019-03-15 16:03:26 | 2019-03-15 16:03:56 | 2019-03-15 16:04:26 | 2019-03-15 16:05:06 | 2019-03-15 16:05:06 | 2019-03-15 16:05:26
HAA | OFA=HAA | HAA | HAA | HAA | CGO,2019-03-16 15:39:17 | 2019-03-16 15:39:17 | 2019-03-16 15:39:33 | 2019-03-16 15:40:03 | 2019-03-16 15:41:06 | 2019-03-16 15:41:39
HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO,2019-03-17 15:40:31 | 2019-03-17 15:40:31 | 2019-03-17 15:40:51 | 2019-03-17 15:41:47 | 2019-03-17 15:41:47 | 2019-03-17 15:42:03
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | CGO,2019-03-18 15:37:24 | 2019-03-18 15:37:24 | 2019-03-18 15:37:54 | 2019-03-18 15:38:24 | 2019-03-18 15:38:45 | 2019-03-18 15:39:05 | 2019-03-18 15:39:25 | 2019-03-18 15:39:44
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-19 15:30:06 | 2019-03-19 15:30:25 | 2019-03-19 15:30:55 | 2019-03-19 15:31:28 | 2019-03-19 15:31:45 | 2019-03-19 15:32:25 | 2019-03-19 15:32:49
CGO | OFA=CGO,2019-03-20 15:38:47 | 2019-03-20 15:38:47
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-21 15:46:03 | 2019-03-21 15:46:19 | 2019-03-21 15:46:40 | 2019-03-21 15:46:56 | 2019-03-21 15:47:13 | 2019-03-21 15:47:43 | 2019-03-21 15:47:59 | 2019-03-21 15:48:16 | 2019-03-21 15:48:34 | 2019-03-21 15:49:33 | 2019-03-21 15:50:00 | 2019-03-21 15:50:28 | 2019-03-21 15:58:34
HAA | OFA=HAA | HAA | HAA | HAA | HAA,2019-03-22 15:53:04 | 2019-03-22 15:53:04 | 2019-03-22 15:53:20 | 2019-03-22 15:53:36 | 2019-03-22 15:53:52 | 2019-03-22 15:54:24
OFA | OFA | OFA | OFA | OFA | OFA,2019-03-23 15:49:47 | 2019-03-23 15:50:17 | 2019-03-23 15:50:47 | 2019-03-23 15:51:03 | 2019-03-23 15:51:19 | 2019-03-23 15:52:40
HAA | OFA=HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-03-24 15:52:50 | 2019-03-24 15:52:50 | 2019-03-24 15:53:20 | 2019-03-24 15:53:36 | 2019-03-24 15:53:53 | 2019-03-24 15:54:11 | 2019-03-24 15:54:55 | 2019-03-24 15:54:55
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-03-25 16:00:05 | 2019-03-25 16:00:05 | 2019-03-25 16:00:22 | 2019-03-25 16:00:41 | 2019-03-25 16:01:11 | 2019-03-25 16:01:28 | 2019-03-25 16:01:51 | 2019-03-25 16:02:08 | 2019-03-25 16:02:38 | 2019-03-25 16:03:08 | 2019-03-25 16:03:43 | 2019-03-25 16:03:43
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-03-26 15:29:43 | 2019-03-26 15:30:13 | 2019-03-26 15:30:30 | 2019-03-26 15:30:47 | 2019-03-26 15:31:04 | 2019-03-26 15:31:21 | 2019-03-26 15:32:17 | 2019-03-26 15:32:51
HAA | OFA=HAA | HAA | HAA | CGO | OFA=CGO | CGO,2019-03-27 16:09:47 | 2019-03-27 16:09:47 | 2019-03-27 16:10:07 | 2019-03-27 16:10:37 | 2019-03-27 16:11:42 | 2019-03-27 16:11:42 | 2019-03-27 16:12:02
CGO | OFA=CGO | CGO,2019-03-28 16:16:52 | 2019-03-28 16:16:52 | 2019-03-28 16:17:09
CGO | OFA=CGO,2019-03-29 16:10:23 | 2019-03-29 16:10:23
